Location,Year,Calculated_Population,Renewable_Share,Energy_Generation,Tourism_Aggregated_Arrivals,Log_Population,Log_Energy,Log_Tourism,Tourism_Per_Capita,Energy_Per_Capita,Total_Human_Load,Log_Human_Load,Log_Energy_Per_Capita,Cluster
Kiribati,2016,111571,48.1,23.9,7600,5.047551325635197,1.3783979009481375,3.880813592280792,0.0681180593523406,0.000214213370858,119171,5.076170583656921,-3.6691534246870594,1
Kiribati,2017,113256,42.51,26.5,7500,5.054061219054555,1.423245873936808,3.8750612633917,0.066221657130748,0.0002339831885286,120756,5.081908718737455,-3.6308153451177474,1
Kiribati,2018,114966,42.31,28.0,9000,5.060569421261291,1.4471580313422192,3.9542425094393248,0.0782840144042586,0.0002435502670354,123966,5.093302588088626,-3.613411389919072,1
Kiribati,2019,116702,42.19,30.9,12000,5.067078298903304,1.4899584794248346,4.079181246047625,0.1028260012681873,0.0002647769532655,128702,5.109585295794946,-3.57711981947847,1
Kiribati,2020,118744,42.24,30.9,1400,5.07461167444239,1.4899584794248346,3.146128035678238,0.0117900693929798,0.0002602236744593,120144,5.0797020869838105,-3.5846531950175557,1
New Caledonia,2000,214376,7.54,1645.3,161000,5.331176163245593,3.2162450977058223,5.20682587603185,0.7510169048774117,0.0076748330036944,375376,5.574466502167153,-2.114931065539771,2
New Caledonia,2001,218792,6.72,1729.1,152000,5.340031438230985,3.237820110794065,5.181843587944773,0.6947237558960109,0.0079029397784196,370792,5.569130355479646,-2.10221132743692,2
New Caledonia,2002,223146,5.28,1749.5,158000,5.348589106307638,3.242913946818925,5.198657086954422,0.7080566086777267,0.0078401584612764,381146,5.581091366354396,-2.1056751594887126,2
New Caledonia,2003,227408,4.93,1758.0,166000,5.356805738692711,3.245018870737753,5.220108088040055,0.7299655245198058,0.0077305987476254,393408,5.594843187104745,-2.1117868679549576,2
New Caledonia,2004,231411,5.2,1677.8,177000,5.364383999065849,3.224740190060544,5.247973266361806,0.7648728884970896,0.0072503035724317,408411,5.611097430709109,-2.139643809005305,2
New Caledonia,2005,234812,5.08,1883.4,182000,5.370720287637815,3.274942566083686,5.260071387985075,0.7750881556308877,0.0080208847929407,416812,5.619940213791377,-2.0957777215541293,2
New Caledonia,2006,237841,4.52,1872.9,219000,5.3762867221873325,3.272514589650952,5.340444114840119,0.920783212314109,0.0078745884855849,456841,5.659765073509936,-2.1037721325363807,2
New Caledonia,2007,240886,5.82,1926.9,227000,5.381811560067136,3.284859176733763,5.3560258571931225,0.9423544747307856,0.0079992195478359,467886,5.670140050505902,-2.0969523833333725,2
New Caledonia,2008,243873,7.78,1880.7,256000,5.387163720772537,3.274319524558621,5.408239965311849,1.049726702012933,0.0077118008143582,499873,5.698859679525771,-2.1128441962139157,2
New Caledonia,2009,247165,6.95,1953.9,230000,5.39298697214881,3.290902332893745,5.361727836017593,0.930552464952562,0.0079052454837861,477165,5.678668580714307,-2.1020846392550654,2
New Caledonia,2010,251317,4.85,2131.7,282000,5.400221866851549,3.3287260851987845,5.450249108319361,1.1220888360118897,0.0084821162117962,533317,5.72698542746409,-2.071495781652765,2
New Caledonia,2011,256092,5.93,2258.1,348000,5.40839601185335,3.353743170753936,5.541579243946581,1.358886650110117,0.0088175343236024,604092,5.781103084398792,-2.0546528410994145,2
New Caledonia,2012,260984,6.17,2287.3,390000,5.416613883105689,3.3593231299762074,5.5910646070265,1.494344480887717,0.0087641387977807,650984,5.813570314532703,-2.057290753129481,2
New Caledonia,2013,265969,6.56,2504.9,494000,5.424831020414881,3.3987903927521392,5.693726948923647,1.8573593163112996,0.0094180148814335,759969,5.880795877276155,-2.0260406276627414,2
New Caledonia,2014,270197,4.29,3010.8,529000,5.431680522736794,3.4786819073622355,5.723455672035186,1.9578307679211835,0.0111429808621117,799197,5.902653844980325,-1.9529986153745589,2
