Macro_Cluster,Year,Renewable_Share_mean,Renewable_Share_median,Energy_Generation_mean,Energy_Generation_median,Tourism_Aggregated_Arrivals_mean,Tourism_Aggregated_Arrivals_median,Calculated_Population_mean,Calculated_Population_median,Total_Human_Load_mean,Total_Human_Load_median,Tourist_Spatial_Density_mean,Tourist_Spatial_Density_median,Energy_Density_MWh_KM2_mean,Energy_Density_MWh_KM2_median
B,2002,9.744285714285713,0.63,530.1857142857143,102.7,205914.2857142857,73000.0,64889.142857142855,17291.0,270803.4285714286,87625.0,354.67339769003075,50.0,548.2064271049006,117.79661016949153
B,2003,9.95,0.71,520.8428571428572,104.1,187585.7142857143,78000.0,65664.28571428571,17383.0,253250.0,92680.0,320.90986592953624,53.84615384615385,529.6066803215779,123.72881355932203
B,2004,9.384285714285713,0.79,526.1,107.7,230128.57142857142,89000.0,66378.42857142857,17459.0,296507.0,108965.0,397.46424918330956,50.0,559.4613613602115,126.27118644067797
B,2005,9.241428571428571,0.83,564.3142857142858,112.0,240700.0,88000.0,66964.71428571429,17527.0,307664.71428571426,102781.0,415.1100628919115,42.30769230769231,577.370737810853,128.8135593220339
B,2006,8.594285714285714,0.79,562.9428571428572,101.5,246442.85714285713,92000.0,67458.14285714286,17596.0,313901.0,106855.0,414.74651155974226,42.30769230769231,578.3241860914009,136.4406779661017
B,2007,8.448571428571428,0.96,568.8571428571429,106.0,251942.85714285713,97000.0,67972.57142857143,17692.0,319915.4285714286,112139.0,423.69445738662665,43.0943129636171,574.6984598171357,143.22033898305085
B,2008,8.917142857142858,0.57,559.2,97.4,243200.0,95000.0,68509.28571428571,17820.0,311709.28571428574,110605.0,402.69167519407074,65.38461538461539,570.811775818005,142.3728813559322
B,2009,8.672857142857143,0.87,567.5857142857143,88.9,227185.7142857143,101000.0,69103.28571428571,17952.0,296289.0,117093.0,379.4399690958111,61.53846153846154,567.8517791110012,138.55932203389833
B,2010,8.047142857142857,1.38,595.1142857142856,92.6,257985.7142857143,104000.0,69795.57142857143,18093.0,327781.28571428574,120578.0,425.2589505257908,65.38461538461539,578.0947254038762,143.22033898305085
B,2011,7.865714285714286,1.27,608.3571428571429,90.8,266757.14285714284,113000.0,70521.71428571429,18215.0,337278.85714285716,130044.0,426.6954376483651,46.15384615384615,571.1796960193418,142.79661016949152
B,2012,7.791428571428573,1.19,605.2571428571429,76.8,297300.0,122000.0,71199.71428571429,17902.0,368499.71428571426,139245.0,473.3377494967387,47.68632991875662,553.7833874503436,139.83050847457628
B,2013,8.291428571428572,1.17,636.7714285714285,79.3,312900.0,121000.0,71854.42857142857,17775.0,384754.4285714286,138193.0,478.33148775174004,50.0,555.033725907734,138.135593220339
B,2014,7.8185714285714285,1.16,708.1285714285714,82.5,324942.85714285716,131800.0,72407.71428571429,17848.0,397350.5714285714,150550.0,492.6457676866729,53.84615384615385,557.3985046145259,164.74965800273597
B,2015,8.015714285714285,2.98,697.6142857142858,82.5,343300.0,139000.0,72605.57142857143,17909.0,415905.5714285714,157913.0,524.8902248141575,92.3076923076923,566.5689475468695,158.83994528043775
B,2016,8.784285714285714,4.38,736.7285714285715,86.9,371771.4285714286,146000.0,72544.0,17926.0,444315.4285714286,162923.0,565.5690426923305,96.15384615384616,586.3270033241636,171.26675786593708
B,2017,8.69142857142857,5.1,754.6571428571427,84.2,375157.14285714284,157000.0,72433.57142857143,17950.0,447590.71428571426,176253.0,574.390269674319,96.15384615384616,594.2092102978686,176.64569083447333
B,2018,9.104285714285714,4.63,790.5571428571429,93.4,369371.4285714286,169000.0,72270.42857142857,17948.0,441641.85714285716,185201.0,578.0506791114965,119.23076923076923,596.8832369681846,190.7469220246238
B,2019,8.88142857142857,5.24,770.6999999999999,100.0,371785.71428571426,172000.0,72104.57142857143,17926.0,443890.28571428574,187754.0,609.8955412874012,142.30769230769232,599.0917854729645,182.41313269493844
