Location,Year,Calculated_Population,Renewable_Share,Energy_Generation,Tourism_Aggregated_Arrivals,Log_Population,Log_Energy,Log_Tourism,Tourism_Per_Capita,Energy_Per_Capita,Total_Human_Load,Log_Human_Load,Log_Energy_Per_Capita,Cluster,Cluster_Name,Macro_Cluster,Macro_Cluster_Name,Land_Area_KM2,Population_Density,Tourist_Spatial_Density,Energy_Density_MWh_KM2,Renewable_Energy_Density_MWh_KM2,Log_Population_Density,Log_Tourist_Spatial_Density
French Polynesia,2011,271474,6.82,672.8,196000,5.433728242038189,2.827885982789856,5.292256071356476,0.7219844257645299,0.002478322049257,467474,5.669757461260871,-2.605842259248333,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,70.93650378886856,51.215050953749675,175.80350143715705,11.989798798014109,4.275783838099416,3.9553707857760934
French Polynesia,2012,272831,6.64,677.1,210000,5.435893714826253,2.8306528137974243,5.32221929473392,0.7697072546741389,0.0024817561054279,482831,5.68379514604986,-2.605240901028829,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,71.29108962633917,54.87326887901751,176.92709694277502,11.747959237000263,4.2807008798871165,4.0230860704227736
French Polynesia,2013,274468,6.49,662.1,214000,5.438491717698555,2.820923587881317,5.330413773349191,0.7796901642450121,0.0024123030735823,488468,5.688836117945011,-2.6175681298172373,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,71.71883982231513,55.9184740005226,173.0075777371309,11.228191795139796,4.286600495703386,4.041619963314178
French Polynesia,2014,276115,7.45,667.3,229000,5.441090000410639,2.824321124850772,5.359835482339888,0.8293645763540554,0.0024167466454194,505115,5.703390265603026,-2.616768875559868,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,72.14920303109486,59.83799320616671,174.36634439508754,12.990292657434019,4.292501232411497,4.108214482070072
French Polynesia,2015,277606,7.83,669.0,239000,5.4434288484497175,2.8254261177678237,5.378397900948138,0.8609324005965289,0.0024098902761467,516606,5.713159445878644,-2.6180027306818943,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,72.53880324013588,62.45100600992945,174.8105565717272,13.687666579566239,4.297813202149954,4.150268049195137
French Polynesia,2016,278911,8.08,688.0,241000,5.4454656427891575,2.837588438235511,5.382017042574868,0.8640749199565453,0.0024667367009547,519911,5.715929006102099,-2.6078772045536462,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,72.87980141102692,62.973608570681996,179.77528089887642,14.525842696629212,4.3024394673337465,4.158470632230304
French Polynesia,2017,279803,8.07,686.1,254000,5.446852366612067,2.836387419326411,5.404833716619938,0.9077815463022196,0.0024520823579446,533803,5.727381010215416,-2.610464947285656,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,73.11288215312256,66.37052521557355,179.27880846616148,14.467799843219234,4.305589365412468,4.210207610928132
French Polynesia,2018,279523,7.71,690.4,259900,5.446417548759541,2.839100782707153,5.414806279501013,0.929798263470269,0.0024699219742203,539423,5.7319294600259,-2.607316766052388,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,73.03971779461719,67.91220276979357,180.40240397177945,13.909025346224198,4.304601676172063,4.23283327075277
French Polynesia,2019,278741,7.65,693.5,282200,5.445200853765857,2.8410464654093035,5.450557009418329,1.0124093692711156,0.0024879727058452,560941,5.748917184389987,-2.604154388356554,3,Medium Grid Infrastructure / Low Renewable,A,Population Driven Grids,3827,72.83538019336295,73.73922132218448,181.2124379409459,13.86275150248236,4.301838023142018,4.314005005514765
Guam,2000,174409,0.41,1892.7,1287000,5.241568892004155,3.277081782125646,6.109578546904387,7.379206348296246,0.0108520775877391,1461409,6.16477177759405,-1.9644871098785093,2,Largest Grid Infrastructure,B,Tourism Peaked Grids,544,320.6047794117647,2365.8088235294117,3479.2279411764707,14.264834558823527,5.773323398549373,7.769297838837423
