Cluster,Year,Renewable_Share_mean,Renewable_Share_median,Energy_Generation_mean,Energy_Generation_median,Tourism_Aggregated_Arrivals_mean,Tourism_Aggregated_Arrivals_median,Calculated_Population_mean,Calculated_Population_median,Total_Human_Load_mean,Total_Human_Load_median,Tourist_Spatial_Density_mean,Tourist_Spatial_Density_median,Energy_Density_MWh_KM2_mean,Energy_Density_MWh_KM2_median
0,2013,0.7,0.7,6.1,6.1,1300.0,1300.0,1110.0,1110.0,2410.0,2410.0,50.0,50.0,234.6153846153846,234.6153846153846
0,2014,0.65,0.65,6.5,6.5,1400.0,1400.0,1108.0,1108.0,2508.0,2508.0,53.84615384615385,53.84615384615385,250.0,250.0
0,2015,2.98,2.98,7.0,7.0,2400.0,2400.0,1106.0,1106.0,3506.0,3506.0,92.3076923076923,92.3076923076923,269.2307692307692,269.2307692307692
0,2016,7.27,7.27,8.4,8.4,2500.0,2500.0,1103.0,1103.0,3603.0,3603.0,96.15384615384616,96.15384615384616,323.0769230769231,323.0769230769231
0,2017,6.98,6.98,8.5,8.5,2500.0,2500.0,1097.0,1097.0,3597.0,3597.0,96.15384615384616,96.15384615384616,326.9230769230769,326.9230769230769
0,2018,6.03,6.03,8.8,8.8,3100.0,3100.0,1085.0,1085.0,4185.0,4185.0,119.23076923076923,119.23076923076923,338.46153846153845,338.46153846153845
0,2019,6.12,6.12,9.3,9.3,3700.0,3700.0,1068.0,1068.0,4768.0,4768.0,142.30769230769232,142.30769230769232,357.6923076923077,357.6923076923077
1,2000,55.165,52.394999999999996,783.3499999999999,364.0,152850.0,82000.0,1532381.75,503159.0,1685231.75,773159.0,12.274210350524873,12.60958845976932,15.752832881581519,10.840856601580757
1,2001,52.8825,53.825,762.1,380.65000000000003,155125.0,80000.0,1579663.25,509729.0,1734788.25,785729.0,12.775257378716663,13.28776355224774,16.389258493591633,11.20257725758085
1,2002,54.4625,53.19,776.5,411.0,183375.0,109250.0,1627838.0,516267.5,1811213.0,796267.5,45.204342488488884,16.67458794642151,17.217961944901205,11.199154566241363
1,2003,51.15,51.625,776.9999999999999,416.25,184775.0,116050.0,1677066.5,522701.5,1861841.5,799201.5,48.39774197950408,16.524036940244343,18.495440883781065,13.466819021652386
1,2004,49.8075,52.955,783.2249999999999,431.85,183725.0,81450.0,1727114.25,529087.0,1910839.25,835087.0,28.779161804368336,18.09737441900551,19.749614197958532,15.121493766456922
1,2005,50.5,51.709999999999994,822.1999999999999,448.25,198050.0,97500.0,1778013.5,535507.0,1976063.5,872007.0,25.58042074454016,20.135213874957437,20.758631120778222,16.242077683235628
1,2006,50.332499999999996,51.7,901.6,478.65000000000003,197950.0,116000.0,1829881.75,541937.0,2027831.75,893437.0,14.041539355017001,12.97561758246783,22.193743686789723,17.448737093468104
1,2007,48.2475,50.015,917.725,481.90000000000003,211325.0,135500.0,1882643.0,548235.5,2093968.0,902735.5,20.854382174788014,21.680251769194307,22.31468656676013,17.512774544335922
